id,ticker,action,action_date,reason,entry_price,stop_price,target_price,rs,vol_ratio,created_at,volume_ratio
1582,FDX,ADDED,2024-12-03,new_trigger,282.85,260.22,350.73,0.4683644913977249,1.7066260837387583,2025-12-04 12:00:48,
1583,CTSH,ADDED,2024-12-03,new_trigger,79.98,73.58,99.18,0.13243695252603865,0.7272061488454363,2025-12-04 12:00:48,
1584,HPQ,ADDED,2024-12-03,new_trigger,36.79,33.85,45.62,0.06091967346127734,1.0106673549219358,2025-12-04 12:00:48,
1585,WAT,ADDED,2024-12-03,new_trigger,387.0,356.04,479.88,0.6408239638356709,0.833033033033033,2025-12-04 12:00:48,
