ticker,signal_date,signal_price,current_price,entry_price,stop_price,target_price,atr,rs,volume_ratio,ma50,ma150,ma200,high_52w,low_52w,ml_probability,ml_rank,ml_model_version,ml_score_date,ml_features,last_updated,status,notes
EXPD,2025-11-04,135.02,135.02,,,,,0.19995639571144952,3.9855595785045774,120.42286163330078,115.41686192830403,115.25014900207519,135.0185546875,101.60218811035156,0.43944352865219116,166,2025-12-03T02:17:06.861944,2025-11-04,"{'Volume': 4911700.0, 'SMA_50': 120.42286163330078, 'Price_vs_SMA_50': 12.120367226153874, 'Price_vs_SMA_150': 16.983387376596994, 'Price_vs_SMA_200': 17.152607486059615, 'ATR': 3.267779567983179, 'Vol_Ratio': 3.9855595785045774, 'nATR': 2.420244814163834, 'VCP_Ratio': 1.47853720616326, 'Consolidation_Width': 17.11486217913678, 'Dry_Up_Volume': 1.7934328377586675, 'RSI_14': 81.71151534527192, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.55, 'SMA_50_Slope': 0.01590200616049823, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
MCK,2025-11-04,840.89,840.89,,,,,1.245315341080627,1.3506611429544293,746.5088000488281,717.059873453776,693.9001959228516,840.88671875,522.4755859375,0.3257078528404236,194,2025-12-03T02:17:06.861944,2025-11-04,"{'Volume': 952000.0, 'SMA_50': 746.5088000488281, 'Price_vs_SMA_50': 12.642572826334902, 'Price_vs_SMA_150': 17.268689809653143, 'Price_vs_SMA_200': 21.182660516713632, 'ATR': 17.82838982408227, 'Vol_Ratio': 1.3506611429544293, 'nATR': 2.1201892510069174, 'VCP_Ratio': 1.1485452434521388, 'Consolidation_Width': 12.169852368762351, 'Dry_Up_Volume': 1.1257590375120594, 'RSI_14': 68.96157575994701, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.75, 'SMA_50_Slope': 0.3681028773221151, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
ROL,2025-11-04,59.43,59.43,,,,,0.08801884719444729,1.607938101957195,56.66850807189942,56.289133377075196,54.85509511947632,59.43384552001953,45.10221862792969,0.24268682301044464,206,2025-12-03T02:17:06.861944,2025-11-04,"{'Volume': 3035800.0, 'SMA_50': 56.66850807189942, 'Price_vs_SMA_50': 4.8798486888194255, 'Price_vs_SMA_150': 5.58671266419795, 'Price_vs_SMA_200': 8.3469919987752, 'ATR': 1.4461852265920427, 'Vol_Ratio': 1.607938101957195, 'nATR': 2.4332688116317724, 'VCP_Ratio': 1.518096230362179, 'Consolidation_Width': 9.929553367830234, 'Dry_Up_Volume': 1.846305735992644, 'RSI_14': 65.84504990300334, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.55, 'SMA_50_Slope': -0.024882521449073602, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
AMG,2025-11-03,256.55,251.4304962158203,,,,,0.37235723572673635,1.7913324071169274,237.3006329345703,204.57383646647136,196.47915016174318,256.55029296875,143.32998657226562,0.4548279345035553,164,2025-12-03T02:17:06.861944,2025-11-03,"{'Volume': 698700.0, 'SMA_50': 236.75945343017577, 'Price_vs_SMA_50': 8.359049343899112, 'Price_vs_SMA_150': 25.743299695916743, 'Price_vs_SMA_200': 30.78836777485242, 'ATR': 7.029017738786838, 'Vol_Ratio': 3.204017058742606, 'nATR': 2.7398205854487303, 'VCP_Ratio': 1.1459108419730801, 'Consolidation_Width': 10.348457239781904, 'Dry_Up_Volume': 1.4089971110193975, 'RSI_14': 67.07816813469148, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.5, 'SMA_50_Slope': 0.18142380704271535, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-04,active,
IDCC,2025-11-03,396.54,381.5199890136719,,,,,0.5650139128774745,0.911402157164869,338.76368225097656,262.15779174804686,247.4313372039795,396.5400085449219,164.00576782226562,0.5427184104919434,128,2025-12-03T02:17:06.861944,2025-11-03,"{'Volume': 669100.0, 'SMA_50': 336.4265899658203, 'Price_vs_SMA_50': 17.868212671658583, 'Price_vs_SMA_150': 51.948609536508116, 'Price_vs_SMA_200': 60.94947531688626, 'ATR': 19.756426130022323, 'Vol_Ratio': 1.7044094046921567, 'nATR': 4.982202477504669, 'VCP_Ratio': 1.7669951310226872, 'Consolidation_Width': 20.709144789175394, 'Dry_Up_Volume': 1.5372545023817408, 'RSI_14': 62.478812484393515, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.7, 'SMA_50_Slope': 0.7146884305362337, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-04,active,
IDXX,2025-11-03,722.94,722.1199951171875,,,,,1.0694271748723598,1.504282797210215,641.0259997558594,560.529066772461,529.5367991638184,722.9400024414062,361.0400085449219,0.5079396963119507,150,2025-12-03T02:17:06.861944,2025-11-03,"{'Volume': 1652800.0, 'SMA_50': 639.4105993652344, 'Price_vs_SMA_50': 13.063499910557393, 'Price_vs_SMA_150': 29.441900149779045, 'Price_vs_SMA_200': 36.91462077581579, 'ATR': 18.972852434430802, 'Vol_Ratio': 3.69914459519344, 'nATR': 2.624402076293812, 'VCP_Ratio': 1.3048100170913242, 'Consolidation_Width': 16.598887818457094, 'Dry_Up_Volume': 1.7399497768606509, 'RSI_14': 78.24916866816952, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.45, 'SMA_50_Slope': -0.007919780540218349, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-04,active,
LUMN,2025-11-03,11.83,10.539999961853027,,,,,0.015609265023232118,1.5798658717012595,6.744399967193604,4.95053332010905,4.9221499884128574,11.829999923706055,3.069999933242798,0.6989818215370178,22,2025-12-03T02:17:06.861944,2025-11-03,"{'Volume': 43336700.0, 'SMA_50': 6.627399969100952, 'Price_vs_SMA_50': 78.50137276852581, 'Price_vs_SMA_150': 141.13985887022963, 'Price_vs_SMA_200': 141.53948145731573, 'ATR': 0.9264283861432757, 'Vol_Ratio': 2.132235638737337, 'nATR': 7.831178293474139, 'VCP_Ratio': 1.9936815310205254, 'Consolidation_Width': 47.0836832691988, 'Dry_Up_Volume': 2.381639610370441, 'RSI_14': 83.51351117983293, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.65, 'SMA_50_Slope': 1.7582144608342392, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-04,active,
MD,2025-11-03,21.08,21.440000534057617,,,,,0.03175167472918158,3.0551719231797634,17.00039999008179,14.851599998474121,14.745749988555907,21.440000534057617,11.979999542236328,0.668258547782898,41,2025-12-03T02:17:06.861944,2025-11-03,"{'Volume': 2991800.0, 'SMA_50': 16.912799968719483, 'Price_vs_SMA_50': 24.639326206742115, 'Price_vs_SMA_150': 42.38048231574524, 'Price_vs_SMA_200': 43.32579723507751, 'ATR': 0.7414283752441406, 'Vol_Ratio': 3.8131240393267447, 'nATR': 3.517212419011199, 'VCP_Ratio': 1.5663553398346233, 'Consolidation_Width': 26.280834828765244, 'Dry_Up_Volume': 1.7396757098467257, 'RSI_14': 82.78579579646566, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.6, 'SMA_50_Slope': 0.23653310734711433, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-04,active,
TIC,2025-11-03,14.03,17.43000030517578,,,,,0.02581304507620446,6.249525635119417,8.103200016021729,5.464033346176148,5.056150012016296,17.43000030517578,2.0,0.7101298570632935,17,2025-12-03T02:17:06.861944,2025-11-03,"{'Volume': 33971800.0, 'SMA_50': 7.888400011062622, 'Price_vs_SMA_50': 77.85608885573303, 'Price_vs_SMA_150': 161.5146546199086, 'Price_vs_SMA_200': 181.0975367579729, 'ATR': 1.2348571164267403, 'Vol_Ratio': 16.982486520209438, 'nATR': 8.801547683032133, 'VCP_Ratio': 2.325222555757131, 'Consolidation_Width': 66.17961868116832, 'Dry_Up_Volume': 4.225840606038187, 'RSI_14': 80.45035880899835, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 0.0, 'Green_Days_Ratio_20D': 0.55, 'SMA_50_Slope': 0.5400710833578517, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-04,active,
CSCO,2025-10-31,73.11,72.31999969482422,,,,,0.10710266089205119,1.2212782358762957,68.81391738891601,65.29986516316731,64.2077318572998,74.44999694824219,52.554710388183594,0.37638187408447266,181,2025-12-03T02:17:06.861944,2025-10-31,"{'Volume': 24008000.0, 'SMA_50': 68.55157669067383, 'Price_vs_SMA_50': 6.649626660298087, 'Price_vs_SMA_150': 12.25316321727507, 'Price_vs_SMA_200': 14.121984999429019, 'ATR': 1.3885721479143416, 'Vol_Ratio': 1.3348205692691701, 'nATR': 1.899291665055376, 'VCP_Ratio': 0.9836076802997503, 'Consolidation_Width': 9.123246809815297, 'Dry_Up_Volume': 1.0676562990487346, 'RSI_14': 78.27824876986676, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.6, 'SMA_50_Slope': 0.09078382309622059, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-04,active,
