date,spy_close,sma_200,pct_above_sma,trend_score,fed_assets,tga,rrp,net_liquidity,liq_slope_20d,liq_slope_pct,liquidity_score,vix,hy_spread,vix_score,spread_score,risk_appetite_score,score,category
2003-07-20,99.51,91.3318,8.95438390571521,85.70347388107253,737.765,6.479,3.5,727.786,-1.0074181818181882,-0.13842230845580822,9.736325928599854e-05,19.11,5.76,27.224999999999998,12.4,39.625,50.1,neutral
2003-07-21,98.28,91.36785,7.565188411459826,81.95109549556949,737.765,6.479,3.5,727.786,-1.0493939393939462,-0.1441899046414669,5.4690484311947785e-05,19.11,5.76,27.224999999999998,12.4,39.625,48.6,neutral
2003-07-22,99.17,91.40695000000001,8.492844362491027,84.53477289967829,737.765,6.479,3.5,727.786,-1.0074181818181882,-0.13842230845580822,9.736325928599854e-05,19.78,5.59,25.549999999999994,14.100000000000001,39.64999999999999,49.7,neutral
2003-07-23,99.24,91.4464,8.52258809532141,84.61238413351829,737.765,6.479,3.5,727.786,-0.8814909090909148,-0.12111951989883218,0.0005493431328744691,19.17,5.66,27.074999999999992,13.4,40.474999999999994,50.0,neutral
2003-07-24,98.49,91.4821,7.6604056968521625,82.23106057114089,745.665,6.067,3.5,736.098,-0.21823030303030672,-0.029646908839625532,4.9046754370165075,18.64,5.72,28.4,12.8,41.2,50.4,neutral
2003-07-25,100.23,91.51844999999999,9.518900287319134,87.03187556542602,745.665,6.067,3.5,736.098,0.42823030303030174,0.05817571886220337,99.70340037208945,18.6,5.7,28.499999999999996,13.0,41.5,71.4,bull
2003-07-26,100.23,91.55595,9.474042921295677,86.93028307319801,745.665,6.067,3.5,736.098,1.0578909090909105,0.14371604176222605,99.99994265555404,17.75,5.73,30.625000000000004,12.699999999999994,43.324999999999996,72.1,bull
2003-07-27,100.23,91.60015,9.421218196695099,86.80977996680971,745.665,6.067,3.5,736.098,1.2090181818181835,0.16424690487111548,99.99999264051334,17.75,5.73,30.625000000000004,12.699999999999994,43.324999999999996,72.1,bull
2003-07-28,99.86,91.6354,8.975352320173203,85.754780585731,745.665,6.067,3.5,736.098,1.2593939393939413,0.17109052590741197,99.9999962877873,17.75,5.73,30.625000000000004,12.699999999999994,43.324999999999996,71.6,bull
2003-07-29,99.4,91.6671,8.4358510305224,84.38516518461233,745.665,6.067,3.5,736.098,1.2090181818181835,0.16424690487111548,99.99999264051334,18.36,5.65,29.100000000000005,13.499999999999995,42.6,70.8,bull
2003-07-30,99.16,91.69760000000001,8.138053776761865,83.58420732725607,745.665,6.067,3.5,736.098,1.0578909090909105,0.14371604176222605,99.99994265555404,18.67,5.63,28.324999999999996,13.700000000000001,42.025,70.2,bull
2003-07-31,99.39,91.72925000000001,8.351480034994282,84.16152825816735,740.295,6.205,3.5,730.5899999999999,0.5055757575757567,0.06920102349823522,99.90132458040938,18.85,5.83,27.874999999999993,11.7,39.57499999999999,69.5,bull
2003-08-01,98.51,91.75665,7.360066000665904,81.33631896980823,740.295,6.205,3.5,730.5899999999999,-0.08072727272727578,-0.011049600011945934,24.881169364814106,19.49,5.67,26.275000000000006,13.3,39.575,53.3,neutral
2003-08-02,98.51,91.78255000000001,7.32977020141627,81.24416410157559,740.295,6.205,3.5,730.5899999999999,-0.7010181818181866,-0.09595233740103022,0.006804768897680447,20.75,5.77,23.125,12.300000000000006,35.425000000000004,46.7,neutral
2003-08-03,98.51,91.81309999999999,7.294057166134261,81.13508192817952,740.295,6.205,3.5,730.5899999999999,-0.801163636363642,-0.10965981417260598,0.0017279345062988227,20.75,5.77,23.125,12.300000000000006,35.425000000000004,46.6,neutral
2003-08-04,98.51,91.84555,7.256149045871033,81.01876306576719,740.295,6.205,3.5,730.5899999999999,-0.8345454545454604,-0.11422897309646457,0.0010941931182557596,20.75,5.77,23.125,12.300000000000006,35.425000000000004,46.6,neutral
2003-08-05,96.42,91.87434999999999,4.947681262506901,72.89963138044442,740.295,6.205,3.5,730.5899999999999,-0.801163636363642,-0.10965981417260598,0.0017279345062988227,21.27,5.84,21.825,11.6,33.425,42.5,bear
