feature,gain,rank,gain_pct,cumulative_pct
Dist_From_52W_Low,0.05169446,1,5.17,5.17
Dist_From_52W_High,0.04533585,2,4.53,9.7
breakout_momentum,0.04493123,3,4.49,14.19
Dist_From_52W_High_Lag1,0.041820068,4,4.18,18.37
alpha011,0.040918607,5,4.09,22.46
VCP_Ratio_Lag1,0.039335724,6,3.93,26.39
Price_vs_SMA_200,0.036802515,7,3.68,30.07
Price_vs_SMA_200_Lag1,0.03495685,8,3.5,33.57
RS_Lag1,0.03098152,9,3.1,36.67
alpha012,0.02984589,10,2.98,39.65
VCP_Ratio,0.029587189,11,2.96,42.61
Dist_From_20D_Low_Lag1,0.02790097,12,2.79,45.4
Consolidation_Width_Delta,0.027130326,13,2.71,48.11
Dist_From_20D_Low,0.02658124,14,2.66,50.77
alpha051,0.026166916,15,2.62,53.39
Dist_From_20D_High,0.026083976,16,2.61,56.0
alpha004,0.025378847,17,2.54,58.54
alpha015,0.024949929,18,2.49,61.03
alpha001,0.024291014,19,2.43,63.46
alpha013,0.023785813,20,2.38,65.84
alpha101,0.023463113,21,2.35,68.19
volume_acceleration,0.023414286,22,2.34,70.53
RSI_14_Delta,0.022655584,23,2.27,72.8
Dist_From_52W_High_Delta,0.022253288,24,2.23,75.03
alpha054,0.02215743,25,2.22,77.25
RS,0.021824438,26,2.18,79.43
price_momentum_curve,0.021306738,27,2.13,81.56
RS_Delta,0.020841733,28,2.08,83.64
alpha046,0.019940935,29,1.99,85.63
Vol_Ratio,0.01967346,30,1.97,87.6
Dry_Up_Volume_Delta,0.019565435,31,1.96,89.56
alpha009,0.018821955,32,1.88,91.44
rs_velocity,0.017527618,33,1.75,93.19
alpha006,0.017495705,34,1.75,94.94
alpha002,0.01744043,35,1.74,96.68
log_volume_velocity,0.016739197,36,1.67,98.35
consolidation_duration,0.016399752,37,1.64,99.99
Breakout,0.0,38,0.0,99.99
