ticker,signal_date,signal_price,current_price,entry_price,stop_price,target_price,atr,rs,volume_ratio,ma50,ma150,ma200,high_52w,low_52w,ml_probability,ml_rank,ml_model_version,ml_score_date,ml_features,last_updated,status,notes
ADM,2025-10-15,62.85,62.85,,,,,0.0944876685435916,1.3822251857201016,60.417471389770505,52.75259854634603,51.349179363250734,63.673423767089844,40.670536041259766,0.4747483730316162,103,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 5344100.0, 'SMA_50': 60.417471389770505, 'Price_vs_SMA_50': 4.026797918925724, 'Price_vs_SMA_150': 19.141734440141118, 'Price_vs_SMA_200': 22.39798503058783, 'ATR': 1.9861203518306059, 'Vol_Ratio': 1.3822251857201016, 'nATR': 3.16007788074167, 'VCP_Ratio': 1.3700495105013593, 'Consolidation_Width': 10.097826656091971, 'Dry_Up_Volume': 1.2060723657903598, 'RSI_14': 61.18101380841017, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -1.2926317575432826, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.5, 'SMA_50_Slope': 0.23580334285118695, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
AMRK,2025-10-15,15.79,15.79,,,,,0.023738293019133074,1.8626499136869183,11.23919997215271,7.3686666599909465,6.41074999332428,15.789999961853027,3.0,0.6763577461242676,30,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 3284500.0, 'SMA_50': 11.23919997215271, 'Price_vs_SMA_50': 40.490426373547976, 'Price_vs_SMA_150': 114.28571396215699, 'Price_vs_SMA_200': 146.30503417378094, 'ATR': 1.084071499960763, 'Vol_Ratio': 1.8626499136869183, 'nATR': 6.865557331094144, 'VCP_Ratio': 1.544553210222968, 'Consolidation_Width': 22.79923645657143, 'Dry_Up_Volume': 1.1473628574733972, 'RSI_14': 62.026861472368076, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.65, 'SMA_50_Slope': 1.1634004938714202, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
AMTM,2025-10-15,15.79,15.79,,,,,0.023738293019133074,1.8626499136869183,11.23919997215271,7.3686666599909465,6.41074999332428,15.789999961853027,3.0,0.6763577461242676,31,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 3284500.0, 'SMA_50': 11.23919997215271, 'Price_vs_SMA_50': 40.490426373547976, 'Price_vs_SMA_150': 114.28571396215699, 'Price_vs_SMA_200': 146.30503417378094, 'ATR': 1.084071499960763, 'Vol_Ratio': 1.8626499136869183, 'nATR': 6.865557331094144, 'VCP_Ratio': 1.544553210222968, 'Consolidation_Width': 22.79923645657143, 'Dry_Up_Volume': 1.1473628574733972, 'RSI_14': 62.026861472368076, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.65, 'SMA_50_Slope': 1.1634004938714202, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
BSTZ,2025-10-15,188.24,188.24,,,,,0.2829953400326386,1.3028923300686919,173.57520111083986,150.14200022379558,148.16485023498535,190.8800048828125,89.12999725341797,0.518940269947052,92,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 659300.0, 'SMA_50': 173.57520111083986, 'Price_vs_SMA_50': 8.448674861658208, 'Price_vs_SMA_150': 25.374648807516316, 'Price_vs_SMA_200': 27.047680468492104, 'ATR': 6.297139848981585, 'Vol_Ratio': 1.3028923300686919, 'nATR': 3.345271815352909, 'VCP_Ratio': 1.135606327448588, 'Consolidation_Width': 14.853373692710337, 'Dry_Up_Volume': 1.0262673211759032, 'RSI_14': 68.75516869386217, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -1.3830675409240585, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.4, 'SMA_50_Slope': -0.003685764991505705, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
BRX,2025-10-15,188.24,188.24,,,,,0.2829953400326386,1.3028923300686919,173.57520111083986,150.14200022379558,148.16485023498535,190.8800048828125,89.12999725341797,0.518940269947052,93,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 659300.0, 'SMA_50': 173.57520111083986, 'Price_vs_SMA_50': 8.448674861658208, 'Price_vs_SMA_150': 25.374648807516316, 'Price_vs_SMA_200': 27.047680468492104, 'ATR': 6.297139848981585, 'Vol_Ratio': 1.3028923300686919, 'nATR': 3.345271815352909, 'VCP_Ratio': 1.135606327448588, 'Consolidation_Width': 14.853373692710337, 'Dry_Up_Volume': 1.0262673211759032, 'RSI_14': 68.75516869386217, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -1.3830675409240585, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.4, 'SMA_50_Slope': -0.003685764991505705, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
BSY,2025-10-15,188.24,188.24,,,,,0.2829953400326386,1.3028923300686919,173.57520111083986,150.14200022379558,148.16485023498535,190.8800048828125,89.12999725341797,0.518940269947052,95,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 659300.0, 'SMA_50': 173.57520111083986, 'Price_vs_SMA_50': 8.448674861658208, 'Price_vs_SMA_150': 25.374648807516316, 'Price_vs_SMA_200': 27.047680468492104, 'ATR': 6.297139848981585, 'Vol_Ratio': 1.3028923300686919, 'nATR': 3.345271815352909, 'VCP_Ratio': 1.135606327448588, 'Consolidation_Width': 14.853373692710337, 'Dry_Up_Volume': 1.0262673211759032, 'RSI_14': 68.75516869386217, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -1.3830675409240585, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.4, 'SMA_50_Slope': -0.003685764991505705, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
BTU,2025-10-15,188.24,188.24,,,,,0.2829953400326386,1.3028923300686919,173.57520111083986,150.14200022379558,148.16485023498535,190.8800048828125,89.12999725341797,0.518940269947052,94,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 659300.0, 'SMA_50': 173.57520111083986, 'Price_vs_SMA_50': 8.448674861658208, 'Price_vs_SMA_150': 25.374648807516316, 'Price_vs_SMA_200': 27.047680468492104, 'ATR': 6.297139848981585, 'Vol_Ratio': 1.3028923300686919, 'nATR': 3.345271815352909, 'VCP_Ratio': 1.135606327448588, 'Consolidation_Width': 14.853373692710337, 'Dry_Up_Volume': 1.0262673211759032, 'RSI_14': 68.75516869386217, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -1.3830675409240585, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.4, 'SMA_50_Slope': -0.003685764991505705, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
CUK,2025-10-15,6.57,6.57,,,,,0.009877174768045387,1.49535541741732,6.043399982452392,5.134333316485087,5.062249985933303,6.570000171661377,3.200000047683716,0.6227944493293762,65,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 1105600.0, 'SMA_50': 6.043399982452392, 'Price_vs_SMA_50': 8.71364117447166, 'Price_vs_SMA_150': 27.96208907136425, 'Price_vs_SMA_200': 29.784190625072355, 'ATR': 0.2711427892957415, 'Vol_Ratio': 1.49535541741732, 'nATR': 4.12698298647345, 'VCP_Ratio': 1.166448050473045, 'Consolidation_Width': 16.74276827841251, 'Dry_Up_Volume': 1.3843398849809834, 'RSI_14': 63.88888643602484, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 0.0, 'Green_Days_Ratio_20D': 0.65, 'SMA_50_Slope': 0.1552680350074271, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
GRMN,2025-10-15,191.67,191.67,,,,,0.28815190566835,1.9654429467097856,182.61800048828124,149.2514668273926,148.7382501602173,202.85000610351562,101.91999816894531,0.47673916816711426,102,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 1864600.0, 'SMA_50': 182.61800048828124, 'Price_vs_SMA_50': 4.9567937752362745, 'Price_vs_SMA_150': 28.420847207223236, 'Price_vs_SMA_200': 28.863959312740985, 'ATR': 5.969285147530692, 'Vol_Ratio': 1.9654429467097856, 'nATR': 3.11435550923788, 'VCP_Ratio': 1.1964617247219058, 'Consolidation_Width': 18.1666445749778, 'Dry_Up_Volume': 1.4198496456173342, 'RSI_14': 78.72564302166934, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -5.511465416897787, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.65, 'SMA_50_Slope': -0.0037222437874591314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
ITRI,2025-10-15,133.72,133.72,,,,,0.2010313223030158,1.392373829140189,123.81840026855468,119.49946690877279,115.78130016326904,138.4199981689453,92.04000091552734,0.41764217615127563,108,2025-12-03T02:17:06.861944,2025-10-15,"{'Volume': 869000.0, 'SMA_50': 123.81840026855468, 'Price_vs_SMA_50': 7.996873591221066, 'Price_vs_SMA_150': 11.900081799349321, 'Price_vs_SMA_200': 15.493608235645844, 'ATR': 3.278571537562779, 'Vol_Ratio': 1.392373829140189, 'nATR': 2.451818357488301, 'VCP_Ratio': 1.290458055912252, 'Consolidation_Width': 11.284771313294248, 'Dry_Up_Volume': 1.080443636899669, 'RSI_14': 71.2302391181091, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -3.395460923576747, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.5, 'SMA_50_Slope': -0.07052250912684728, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
