ticker,signal_date,signal_price,current_price,entry_price,stop_price,target_price,atr,rs,volume_ratio,ma50,ma150,ma200,high_52w,low_52w,ml_probability,ml_rank,ml_model_version,ml_score_date,ml_features,last_updated,status,notes
ATRO,2025-11-14,52.15,52.150001525878906,,,,,0.07761225439305885,1.42511042862212,46.052000274658205,36.404200146993,32.80910013198852,52.150001525878906,15.600000381469727,0.6969811916351318,16,2025-12-03T02:17:06.861944,2025-11-14,"{'Volume': 1164700.0, 'SMA_50': 46.052000274658205, 'Price_vs_SMA_50': 13.241555665012772, 'Price_vs_SMA_150': 43.252705224417674, 'Price_vs_SMA_200': 58.94980757193402, 'ATR': 2.387142998831613, 'Vol_Ratio': 1.42511042862212, 'nATR': 4.5774552808920195, 'VCP_Ratio': 1.271586590897326, 'Consolidation_Width': 21.24640749158243, 'Dry_Up_Volume': 0.8833066183758121, 'RSI_14': 58.31533779836817, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.6, 'SMA_50_Slope': 0.5157398312261237, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
GRPN,2025-11-14,36.82,36.81999969482422,,,,,0.05479737486966228,1.8721044329346301,27.842499961853026,23.323666661580404,22.910575008392335,37.689998626708984,14.149999618530273,0.7294625639915466,5,2025-12-03T02:17:06.861944,2025-11-14,"{'Volume': 1808700.0, 'SMA_50': 27.842499961853026, 'Price_vs_SMA_50': 32.24387086386371, 'Price_vs_SMA_150': 57.86540010655986, 'Price_vs_SMA_200': 60.71180963959545, 'ATR': 1.9648568289620536, 'Vol_Ratio': 1.8721044329346301, 'nATR': 5.336384696489428, 'VCP_Ratio': 1.2115365071417263, 'Consolidation_Width': 32.609994755568245, 'Dry_Up_Volume': 1.2639887717206344, 'RSI_14': 75.54721761488375, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -2.3083018402347237, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.5, 'SMA_50_Slope': 1.1691672067480003, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
ALB,2025-11-13,114.57,115.13999938964844,,,,,0.1713571363753748,1.2559557240538168,90.92610336303711,74.53649225870768,74.24255449295043,115.13999938964844,50.15882110595703,0.6655991077423096,40,2025-12-03T02:17:06.861944,2025-11-13,"{'Volume': 7195900.0, 'SMA_50': 90.24530288696289, 'Price_vs_SMA_50': 26.953975475409862, 'Price_vs_SMA_150': 54.52734373369375, 'Price_vs_SMA_200': 54.64112585350475, 'ATR': 5.86000006539481, 'Vol_Ratio': 1.9251904884208724, 'nATR': 5.114777062934338, 'VCP_Ratio': 1.1483020007635276, 'Consolidation_Width': 27.293354915212635, 'Dry_Up_Volume': 1.1837785197551474, 'RSI_14': 59.166496071668384, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.6, 'SMA_50_Slope': 0.4175131566518562, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
APA,2025-11-13,24.69,24.790000915527344,,,,,0.03689372581332142,0.8213106746274972,23.35519458770752,20.029160346984863,19.900274877548217,24.84187889099121,13.467399597167969,0.539112389087677,114,2025-12-03T02:17:06.861944,2025-11-13,"{'Volume': 20362600.0, 'SMA_50': 23.30935691833496, 'Price_vs_SMA_50': 5.923130443108254, 'Price_vs_SMA_150': 23.696531946301615, 'Price_vs_SMA_200': 24.153547351818688, 'ATR': 0.963571412222726, 'Vol_Ratio': 2.6421101172890014, 'nATR': 3.9026787824227327, 'VCP_Ratio': 0.9880924535021931, 'Consolidation_Width': 16.889428862270815, 'Dry_Up_Volume': 1.2442490190018198, 'RSI_14': 56.05634037404438, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -0.6113803130594591, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.5, 'SMA_50_Slope': 0.09420370472348755, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
LB,2025-11-13,63.63,64.94000244140625,,,,,0.09664697684173924,1.4546866750599032,56.30369972229004,45.1884330368042,41.971899843215944,64.94000244140625,21.049999237060547,0.6830859780311584,28,2025-12-03T02:17:06.861944,2025-11-13,"{'Volume': 1013200.0, 'SMA_50': 55.875099639892575, 'Price_vs_SMA_50': 13.878993466144928, 'Price_vs_SMA_150': 41.66349744596075, 'Price_vs_SMA_200': 52.04501210710701, 'ATR': 3.4910717010498047, 'Vol_Ratio': 1.3047991160539743, 'nATR': 5.486518375683587, 'VCP_Ratio': 1.3854659799584543, 'Consolidation_Width': 16.470217454526836, 'Dry_Up_Volume': 1.061070058903979, 'RSI_14': 64.18578319970865, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.6, 'SMA_50_Slope': 0.7257196214146613, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
ORI,2025-11-13,43.45,44.349998474121094,,,,,0.06600389766426276,2.785922809980332,41.34219978332519,38.698772201538084,38.16573266983032,44.349998474121094,32.70985794067383,0.39502280950546265,154,2025-12-03T02:17:06.861944,2025-11-13,"{'Volume': 3582700.0, 'SMA_50': 41.264199829101564, 'Price_vs_SMA_50': 5.297087894326146, 'Price_vs_SMA_150': 12.429254422623776, 'Price_vs_SMA_200': 13.969315184454684, 'ATR': 0.8442859649658203, 'Vol_Ratio': 2.403403015272245, 'nATR': 1.9431207137882294, 'VCP_Ratio': 0.9663345850803489, 'Consolidation_Width': 12.013811574326851, 'Dry_Up_Volume': 1.1868156637449536, 'RSI_14': 69.70513276798023, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -0.1149407748518319, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.7, 'SMA_50_Slope': 0.06916133789180524, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
SEE,2025-11-13,42.5,43.279998779296875,,,,,0.06441147031842688,3.0269775565745425,34.97469604492188,31.97471549987793,31.583063116073607,43.279998779296875,23.641380310058594,0.6501988172531128,56,2025-12-03T02:17:06.861944,2025-11-13,"{'Volume': 12741900.0, 'SMA_50': 34.76003410339356, 'Price_vs_SMA_50': 22.266853575528582, 'Price_vs_SMA_150': 33.40854541091397, 'Price_vs_SMA_200': 34.7490977009414, 'ATR': 1.5457142421177454, 'Vol_Ratio': 7.006441225603459, 'nATR': 3.6369746873358713, 'VCP_Ratio': 1.7470428046968438, 'Consolidation_Width': 27.529413559857534, 'Dry_Up_Volume': 2.0816035209540535, 'RSI_14': 80.00000598383885, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 0.0, 'Green_Days_Ratio_20D': 0.45, 'SMA_50_Slope': 0.27145328268247, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
GS,2025-11-12,838.97,790.9099731445312,,,,,1.1770719892930275,1.2857900050988225,784.9390026855468,694.9291172281901,664.861559753418,838.969970703125,457.478515625,0.4398733377456665,142,2025-12-03T02:17:06.861944,2025-11-12,"{'Volume': 2954100.0, 'SMA_50': 782.7530041503907, 'Price_vs_SMA_50': 7.181954748771982, 'Price_vs_SMA_150': 21.45243801703243, 'Price_vs_SMA_200': 26.503738183740488, 'ATR': 21.144282749720983, 'Vol_Ratio': 1.5113547296536791, 'nATR': 2.5202669330346064, 'VCP_Ratio': 1.136211248042803, 'Consolidation_Width': 11.918184646176938, 'Dry_Up_Volume': 1.0073344779812177, 'RSI_14': 84.17422491492536, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.65, 'SMA_50_Slope': 0.16177601816542903, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
MIR,2025-11-12,14.09,15.729999542236328,,,,,0.023410176229216702,2.5813742507590733,12.858600006103515,,,,,0.16012568771839142,190,2025-12-03T02:17:06.861944,2025-11-12,"{'Volume': 1969700.0, 'SMA_50': 12.84079999923706, 'Price_vs_SMA_50': 9.728367028729147, 'Price_vs_SMA_150': None, 'Price_vs_SMA_200': None, 'ATR': 0.6853572300502232, 'Vol_Ratio': 2.7704871455135183, 'nATR': 4.864139266345888, 'VCP_Ratio': 1.0734041917607406, 'Consolidation_Width': 24.41448187937597, 'Dry_Up_Volume': 1.0653231273858652, 'RSI_14': 61.79775401297089, 'RSI_Regime': 0.0, 'Dist_From_52W_High': None, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.45, 'SMA_50_Slope': -0.5159756281715858, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
NWN,2025-11-12,48.13,47.97999954223633,,,,,0.07140624777168947,1.094316052467208,44.53484001159668,41.77473973592122,41.31222940444946,48.2599983215332,36.57687759399414,0.35055577754974365,176,2025-12-03T02:17:06.861944,2025-11-12,"{'Volume': 329000.0, 'SMA_50': 44.2600545501709, 'Price_vs_SMA_50': 8.74365510227188, 'Price_vs_SMA_150': 15.526413186105747, 'Price_vs_SMA_200': 16.78061863524002, 'ATR': 0.984283669363511, 'Vol_Ratio': 1.371610579328286, 'nATR': 2.045052249158521, 'VCP_Ratio': 1.2906743846052224, 'Consolidation_Width': 8.061502144211723, 'Dry_Up_Volume': 1.1414801720975218, 'RSI_14': 60.002742576892985, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.75, 'SMA_50_Slope': 0.269101071964747, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-14,active,
