trade_id,y_max,MAE,y_actual,regret,nATR,structural_stop,is_survivor,y_max_survivor
1,17.39525532770406,-3.940490550864497,1.8898271009248044,15.505428226779255,3.653541271755988,-7.307082543511976,True,17.39525532770406
2,80.30660377358491,-6.839622641509431,57.688679245283026,22.617924528301884,2.8268194070080854,-5.653638814016171,False,-6.839622641509431
3,19.45693819756787,-3.614859237048145,8.878893886390134,10.578044311177734,2.6891316246638586,-5.378263249327717,True,19.45693819756787
4,16.904909881914225,-2.983219390926048,6.712243629583581,10.192666252330644,2.2862470034626643,-4.572494006925329,True,16.904909881914225
5,16.184677828513443,-2.621342803991213,9.808895653644518,6.375782174868926,2.248073252639465,-4.49614650527893,True,16.184677828513443
6,15.555555555555548,-2.0845624385447437,8.220255653883973,7.335299901671576,2.136536030341337,-4.273072060682674,True,15.555555555555548
7,9.06161381799433,-3.873420984789889,1.4114462490332544,7.650167568961075,2.565554450705266,-5.131108901410532,True,9.06161381799433
8,1.3359722909450686,-6.003628566716148,-5.8057067458353995,7.141679036780468,2.5588463985297216,-5.117692797059443,False,-6.003628566716148
9,4.574525745257451,-6.433604336043362,-5.815718157181566,10.390243902439018,2.288037166085946,-4.576074332171892,False,-6.433604336043362
10,5.155131264916476,-4.486873508353211,-4.009546539379475,9.164677804295952,2.795772246846231,-5.591544493692462,True,5.155131264916476
11,5.213764337851929,-4.900938477580816,-1.981230448383739,7.194994786235668,3.044838373305526,-6.089676746611052,True,5.213764337851929
12,1.2601260126012652,-2.4302430243024262,-0.6300630063006326,1.8901890189018977,2.19236209335219,-4.38472418670438,True,1.2601260126012652
13,4.276146316331779,-9.299330242143224,-7.006697578567746,11.282843894899525,4.8888643556340625,-9.777728711268125,True,4.276146316331779
14,31.916599839615074,-6.014434643143544,21.491579791499596,10.425020048115478,2.5329361897124514,-5.065872379424903,False,-6.014434643143544
15,8.860759493670885,-22.863924050632914,-14.688818565400844,23.549578059071727,2.84810126582278,-5.69620253164556,False,-22.863924050632914
16,1.9877228880444304,-3.639286758257812,-3.244665302543114,5.232388190587544,2.538940159518938,-5.077880319037876,True,1.9877228880444304
17,3.5403726708074483,-6.157941437444541,-5.705412599822544,9.245785270629991,2.644188110026619,-5.288376220053238,False,-6.157941437444541
18,9.038530788620815,-4.705317488896893,-3.1448805665586415,12.183411355179455,2.9879794914004476,-5.975958982800895,True,9.038530788620815
19,40.354330708661415,-13.818897637795269,23.62204724409449,16.732283464566926,6.16420134983127,-12.32840269966254,False,-13.818897637795269
20,2.2714036109493128,-7.105416423995354,-2.3296447291788125,4.601048340128125,3.3280638988268607,-6.656127797653721,False,-7.105416423995354
21,23.076923076923087,-6.837606837606828,9.401709401709414,13.675213675213673,4.554334554334559,-9.108669108669117,True,23.076923076923087
22,36.06241395135384,-3.3318035796236893,30.289123451124354,5.773290500229486,2.5062741755720186,-5.012548351144037,True,36.06241395135384
23,0.7314524555903896,-9.456635318704295,-6.165099268547543,6.896551724137932,6.650246305418722,-13.300492610837445,True,0.7314524555903896
24,0.663972286374125,-13.510392609699768,-12.528868360277134,13.192840646651259,2.9977317716925103,-5.9954635433850205,False,-13.510392609699768
25,43.519813519813525,-3.123543123543115,14.731934731934734,28.78787878787879,3.1984681984681975,-6.396936396936395,True,43.519813519813525
26,2.247736093143586,-8.101552393272971,-6.516817593790429,8.764553686934015,3.0360608020698567,-6.0721216041397135,False,-8.101552393272971
27,10.693524401784503,-15.898337163715018,-14.614032715965935,25.307557117750438,3.7942988470229246,-7.588597694045849,False,-15.898337163715018
28,0.7294075787226412,-3.9672656111012348,-3.291229318626581,4.020636897349222,3.171779297023916,-6.343558594047832,True,0.7294075787226412
29,42.97140352799388,-3.3198203133559785,31.478032212117895,11.493371315875983,2.999193914445366,-5.998387828890732,True,42.97140352799388
30,42.49341527655837,-2.370500438981569,9.306409130816505,33.18700614574187,3.0080688992014686,-6.016137798402937,True,42.49341527655837
31,0.23609143682471537,-7.6021442657556175,-5.1412382301474855,5.377329666972201,2.58272128116308,-5.16544256232616,False,-7.6021442657556175
