fold,test_year,k_sl,k_tp,min_tp,train_expectancy,train_win_rate,test_expectancy,test_risk_adj_return,test_win_rate,test_loss_rate,test_avg_days,test_risk_reward,test_trades
6,2026,2.0,4.0,0.2,0.010372722963199077,0.07157800358637179,0.06294455871636326,1.824386698641685,0.09178743961352658,0.12318840579710146,8.694444444444445,3.6528304271288716,828
6,2026,2.0,3.0,0.2,0.009898146764236893,0.07830245068738792,0.06254346224173776,1.8259505607264634,0.10990338164251208,0.12318840579710146,8.631642512077295,3.5944564233178755,828
6,2026,2.0,2.0,0.2,0.009813767389776518,0.08144052600119546,0.06191650858613436,1.8124650695213878,0.1111111111111111,0.12318840579710146,8.608695652173912,3.4872976356445937,828
6,2026,2.0,4.0,0.15,0.01006959033311735,0.10833831440526001,0.06170626822431441,1.8213867736048304,0.1316425120772947,0.12318840579710146,8.53743961352657,3.011817473470541,828
6,2026,1.5,4.0,0.2,0.008708173361302078,0.06724447101016139,0.06102156671986101,1.8428884101171399,0.09178743961352658,0.1751207729468599,8.344202898550725,4.219860301306956,828
6,2026,2.0,3.0,0.15,0.009346013066168217,0.12417812313209803,0.06100988726979774,1.8311391021528935,0.16183574879227053,0.12318840579710146,8.396135265700483,2.9271208654821343,828
6,2026,1.5,3.0,0.2,0.00826362001745103,0.07367005379557681,0.06062047024523554,1.8446587194822615,0.10990338164251208,0.1751207729468599,8.281400966183575,4.152424884792431,828
6,2026,2.0,2.0,0.15,0.00899363275199224,0.13359234907352063,0.06043975450657776,1.8250531716822707,0.16908212560386474,0.12318840579710146,8.345410628019323,2.8066239927563283,828
6,2026,1.5,2.0,0.2,0.008185833463922876,0.07650926479378362,0.05999351658963213,1.8306532900740393,0.1111111111111111,0.1751207729468599,8.258454106280194,4.028631808968189,828
6,2026,1.5,4.0,0.15,0.008395300828162783,0.10161386730424388,0.059783276227812175,1.8401149556852598,0.1316425120772947,0.1751207729468599,8.18719806763285,3.479342730144359,828
6,2026,1.25,4.0,0.2,0.007917833195440139,0.06515242080095636,0.05975446193117913,1.8441246869859655,0.0893719806763285,0.213768115942029,8.165458937198068,4.610756668654799,828
6,2026,1.25,3.0,0.2,0.0074256036769586725,0.07098027495517036,0.05935336545655365,1.8459436313463493,0.10748792270531402,0.213768115942029,8.102657004830919,4.5323193591333535,828
6,2026,1.5,3.0,0.15,0.007694994433054398,0.11685594739988045,0.05902023883337029,1.847978234396115,0.1606280193236715,0.1751207729468599,8.048309178743962,3.3883581822106748,828
6,2026,1.0,4.0,0.2,0.006803550495855279,0.062014345487148834,0.05874930127279426,1.8709392866874481,0.08816425120772947,0.2427536231884058,7.913043478260869,5.299305986963317,828
6,2026,1.25,2.0,0.2,0.00746645687007411,0.07367005379557681,0.058726411800950236,1.831632015058157,0.10869565217391304,0.213768115942029,8.079710144927537,4.394494086564195,828
6,2026,1.25,4.0,0.15,0.007615805355266996,0.09802749551703527,0.05851617143913028,1.8413135677579802,0.1292270531400966,0.213768115942029,8.008454106280194,3.7838793160711317,828
6,2026,1.5,2.0,0.15,0.0074105546585480665,0.1256724447101016,0.05845010607015031,1.8417344204429602,0.1678743961352657,0.17391304347826086,7.997584541062802,3.2604659663744417,828
6,2026,1.0,3.0,0.2,0.006276402791745354,0.06679617453676032,0.05834820479816879,1.87303123390257,0.10628019323671498,0.2427536231884058,7.85024154589372,5.205588125026139,828
6,2026,1.25,3.0,0.15,0.0068664453028747414,0.11237298266586969,0.05775313404468841,1.8493766017846078,0.15821256038647344,0.213768115942029,7.869565217391305,3.6835729721830037,828
6,2026,1.0,2.0,0.2,0.006300688156816184,0.06933652121936641,0.05772125114256538,1.858337506311236,0.10748792270531402,0.2427536231884058,7.8272946859903385,5.045759155034048,828
6,2026,1.0,4.0,0.15,0.0065288205508221495,0.09339509862522415,0.057493038212844794,1.8662519261573343,0.12560386473429952,0.2427536231884058,7.763285024154589,4.36247237976868,828
6,2026,1.25,2.0,0.15,0.006728496336582615,0.12074118350268978,0.05715148192550879,1.8408458803101209,0.16545893719806765,0.21256038647342995,7.823671497584541,3.534082299997846,828
6,2026,1.0,3.0,0.15,0.005716970909259789,0.10579796772265392,0.05658734227269039,1.8694250299636614,0.15338164251207728,0.2427536231884058,7.628019323671498,4.250867968338067,828
6,2026,1.0,2.0,0.15,0.005626476065124687,0.1134190077704722,0.055985690153510764,1.8607438937035587,0.1606280193236715,0.24154589371980675,7.582125603864735,4.075940586146368,828
1,2021,2.0,4.0,0.15,0.010035118658213483,0.08589251439539347,0.023005587493905803,0.3975032921138829,0.1335055986218777,0.34079816250358885,14.584553545793856,2.7895393702019518,3483
1,2021,2.0,3.0,0.15,0.010034375341191882,0.10244721689059501,0.022452973022503646,0.3945096222408578,0.1518805627332759,0.33964972724662645,14.342233706574792,2.559331524209338,3483
1,2021,2.0,4.0,0.2,0.010356808582152141,0.056861804222648756,0.022352769095491172,0.37345356580219147,0.08125179443008901,0.34108527131782945,15.083261556129774,3.5032808546219063,3483
1,2021,2.0,3.0,0.2,0.010403528690726943,0.06309980806142035,0.02189043387175044,0.3681468491315829,0.08785529715762273,0.34022394487510765,14.984209015216766,3.2935163593985712,3483
1,2021,1.5,4.0,0.15,0.008814632378209744,0.08181381957773512,0.02153103945530737,0.41142833750363716,0.12948607522250932,0.4395635946023543,13.18776916451335,3.48436689308107,3483
1,2021,2.0,2.0,0.2,0.010268986292788475,0.06453934740882918,0.021491152943472158,0.362424900511703,0.0915877117427505,0.33907550961814525,14.943152454780362,3.1477438449500434,3483
1,2021,2.0,2.0,0.15,0.009389929467996723,0.10748560460652591,0.02146443682429215,0.379801621475494,0.16020671834625322,0.3382141831754235,14.241745621590583,2.405579567517042,3483
1,2021,1.5,3.0,0.15,0.008897451424465908,0.0974088291746641,0.020966049750549418,0.4077244942361243,0.14671260407694517,0.43784094171691074,12.958369221935113,3.1979344584392018,3483
1,2021,1.5,4.0,0.2,0.009181136313272168,0.053742802303262956,0.020897103047986303,0.38509567068102096,0.07924203273040482,0.4404249210450761,13.674705713465404,4.380864658264083,3483
1,2021,1.25,4.0,0.15,0.007710448281279841,0.07797504798464491,0.020436103025852158,0.42093998412275535,0.12489233419465978,0.4912431811656618,12.234280792420327,3.9781854358955524,3483
1,2021,1.5,3.0,0.2,0.00929651057276825,0.05974088291746641,0.020420126266334226,0.3789793742410465,0.08555842664369796,0.4392764857881137,13.578237151880563,4.114500911879848,3483
1,2021,1.5,2.0,0.15,0.008247960948821808,0.10220729366602688,0.019970907184933186,0.39133739888218466,0.15503875968992248,0.43611828883146714,12.86017800746483,3.0012231644152907,3483
1,2021,1.25,3.0,0.15,0.007794000458296039,0.09261036468330135,0.019936401890767782,0.41820417097550633,0.141831754234855,0.488946310651737,12.013207005455067,3.6575713406746435,3483
1,2021,1.5,2.0,0.2,0.009171688808568734,0.06118042226487524,0.019899096663662783,0.37040602988661253,0.08900373241458513,0.4384151593453919,13.53804191788688,3.9249178142597176,3483
1,2021,1.25,4.0,0.2,0.008026985145945138,0.05110364683301344,0.019767529998197805,0.39194608534344283,0.07608383577375825,0.4926787252368648,12.709445879988516,5.017010846115362,3483
1,2021,1.25,3.0,0.2,0.00817254965626267,0.05710172744721689,0.019356943723318,0.38668773965122294,0.0824002296870514,0.4915302899799024,12.614699971289118,4.716305859480715,3483
1,2021,1.0,4.0,0.15,0.006147399060255805,0.07173704414587333,0.019291564919690207,0.4361127902707157,0.12087281079529141,0.550961814527706,11.147286821705427,4.681416861936746,3483
1,2021,1.25,2.0,0.15,0.007144509982651936,0.0974088291746641,0.019002189415965216,0.401737298521614,0.14987080103359174,0.48693654895205285,11.919609532012633,3.434535249459982,3483
1,2021,1.25,2.0,0.2,0.008047727892063157,0.05854126679462572,0.01887087514915094,0.3780877705536013,0.08555842664369796,0.4906689635371806,12.577662934252082,4.509081691996233,3483
1,2021,1.0,3.0,0.15,0.006343379074380064,0.08517274472168906,0.018741494997718572,0.43207979888675246,0.13752512202124606,0.5489520528280218,10.930519666953776,4.299836485034126,3483
1,2021,1.0,4.0,0.2,0.006492247309515545,0.04750479846449136,0.01862126406677603,0.4039290564623086,0.07349985644559288,0.552397358598909,11.617283950617283,5.913323267493215,3483
1,2021,1.0,3.0,0.2,0.006575618908284118,0.052783109404990404,0.018227468459209265,0.39857845751372273,0.07981625035888602,0.5512489233419466,11.524260694803331,5.55441087013951,3483
1,2021,1.0,2.0,0.15,0.005728823734701356,0.08949136276391555,0.017691405565159142,0.41114249436107875,0.14441573356302037,0.5469422911283376,10.843525696238874,4.037168562915154,3483
1,2021,1.0,2.0,0.2,0.006459174849548725,0.05422264875239923,0.017639115599241494,0.38687925401828793,0.082687338501292,0.5503875968992248,11.489520528280218,5.296511097770274,3483
3,2023,2.0,4.0,0.15,0.007971384207920557,0.10515247108307045,0.014230626042247337,0.25216121182858625,0.09658817876021143,0.35079288803459874,14.221528111484863,2.735817133868019,2081
3,2023,2.0,4.0,0.2,0.008004397197083561,0.06642131090080616,0.014137196349296739,0.24576395318992908,0.05670350792888035,0.3512734262373859,14.49591542527631,3.3583129485998886,2081
3,2023,2.0,2.0,0.2,0.008312344696330316,0.07448300035050824,0.014095508401358148,0.24667468970743608,0.06439211917347429,0.35079288803459874,14.399807784718885,3.0939073131182506,2081
3,2023,2.0,3.0,0.2,0.008330725398984742,0.07237995092884683,0.013671325903895491,0.2385587914655323,0.060067275348390195,0.3512734262373859,14.441614608361364,3.174525041503395,2081
3,2023,2.0,2.0,0.15,0.007980537740299675,0.13038906414300735,0.013664190870951422,0.2464375851366158,0.11629024507448342,0.3498318116290245,13.972609322441134,2.4224886955309386,2081
3,2023,2.0,3.0,0.15,0.008539008009822227,0.12425516999649491,0.013379338696921095,0.239750068844346,0.10812109562710236,0.35079288803459874,14.062950504565112,2.504394610498721,2081
3,2023,1.5,4.0,0.15,0.006275229189428414,0.09901857693655801,0.012855262698668535,0.252791886243219,0.09178279673234022,0.4324843825084094,12.814992791926958,3.344858761343365,2081
3,2023,1.5,4.0,0.2,0.0064123303428023255,0.06309148264984227,0.012814059373708999,0.24688072685570683,0.05382027871215762,0.4329649207111965,13.079769341662661,4.081635158429576,2081
3,2023,1.5,2.0,0.2,0.006740108854305246,0.07080266386260077,0.012772371425770408,0.24789906525523192,0.061508889956751564,0.4324843825084094,12.983661701105238,3.7491075407932883,2081
3,2023,1.5,3.0,0.2,0.006825705650806067,0.06887486855941115,0.012348188928307757,0.23889686609133504,0.05718404613166747,0.4329649207111965,13.025468524747717,3.8471164530535993,2081
3,2023,1.25,4.0,0.15,0.004963455407776693,0.09446196985629163,0.012286220433642612,0.262370869000586,0.0913022585295531,0.4891878904372898,11.800576645843345,3.8591153966993303,2081
3,2023,1.5,2.0,0.15,0.006355153644972068,0.12302839116719243,0.012277453418220053,0.24610847834393235,0.11004324843825083,0.43104276790004803,12.571359923113887,2.958153658699911,2081
3,2023,1.25,4.0,0.2,0.0051015912247748645,0.05976165439887837,0.012250072631718142,0.25590905823784305,0.05382027871215762,0.4906295050456511,12.062950504565112,4.704214821228736,2081
3,2023,1.25,2.0,0.2,0.0055181974559536315,0.06729758149316509,0.012208172338130941,0.257050994627155,0.06102835175396444,0.48966842864007687,11.96828447861605,4.3302240597919175,2081
3,2023,1.5,3.0,0.15,0.006919969106443154,0.11706975113915177,0.01200303899963874,0.23892722292194157,0.10283517539644402,0.4324843825084094,12.659778952426718,3.055446132199521,2081
3,2023,1.25,3.0,0.2,0.005582453687736466,0.06554504030844725,0.011783989840668292,0.24725585885346058,0.05670350792888035,0.4906295050456511,12.01009130225853,4.43834496766918,2081
3,2023,1.25,2.0,0.15,0.0051155256948880595,0.11742025937609533,0.011736787519110344,0.255868310807387,0.10860163382988948,0.48678519942335413,11.55934646804421,3.4204733935694223,2081
5,2025,2.0,4.0,0.2,0.0012500753485315229,0.05463917525773196,0.011643407916427276,0.21379774557450001,0.07675518370316478,0.32993815933066567,13.723899599854493,2.9320520972165234,2749
3,2023,1.25,3.0,0.15,0.005676298258454716,0.11163687346652647,0.011433784388964204,0.24739092045160277,0.10187409899086977,0.4887073522345026,11.646804420951465,3.522348573325482,2081
5,2025,2.0,3.0,0.2,0.0008693320999022675,0.05756013745704467,0.011414439936070962,0.21103096975802738,0.08803201164059658,0.32957439068752276,13.630411058566752,2.7494184763896503,2749
5,2025,2.0,2.0,0.2,0.0008410772436501582,0.05962199312714777,0.01127068580155174,0.20921635219736232,0.09166969807202618,0.32957439068752276,13.575481993452165,2.6698941944993932,2749
3,2023,1.0,4.0,0.15,0.004001993428498073,0.08850332982825096,0.011104755068790495,0.2625311881315734,0.08889956751561749,0.5540605478135512,10.659298414223931,4.451764835418661,2081
3,2023,1.0,4.0,0.2,0.004173219214474184,0.05643182614791448,0.011078128174648656,0.2557337391523463,0.052378664103796255,0.5555021624219125,10.91638635271504,5.417854912015057,2081
5,2025,2.0,4.0,0.15,0.0012122715017412466,0.09123711340206185,0.011041753935513779,0.20647158893619724,0.10694798108403056,0.32957439068752276,13.47653692251728,2.4605884025872786,2749
3,2023,1.0,2.0,0.2,0.004590273184702384,0.0637924991237294,0.011013005965135757,0.2562040850052689,0.05814512253724171,0.5545410860163383,10.832292167227294,5.0218689818805595,2081
5,2025,2.0,3.0,0.15,0.0008233191371643349,0.10223367697594501,0.010842477269073239,0.2060829270775633,0.12950163695889413,0.3277555474718079,13.258275736631502,2.2352978179570617,2749
3,2023,1.0,3.0,0.2,0.004681122686774949,0.06203995793901157,0.0106421016537733,0.24673265009322096,0.05430081691494474,0.5555021624219125,10.869293608841902,5.149778803829609,2081
3,2023,1.0,2.0,0.15,0.004127683708057637,0.10953382404486506,0.0106081446101467,0.2561605346639154,0.10427679000480539,0.5511773185968285,10.435848149927919,3.966287407686559,2081
4,2024,2.0,4.0,0.2,0.012995815296535707,0.0685323580855462,0.010567680602099488,0.1835866756910217,0.06317204301075269,0.38743279569892475,14.505712365591398,3.4815469811842465,2976
4,2024,2.0,4.0,0.15,0.01330842429990434,0.11337255525520751,0.0105129602263089,0.18752742543683404,0.10450268817204302,0.38743279569892475,14.127352150537634,2.7811938131985117,2976
3,2023,1.0,3.0,0.15,0.004749870534048442,0.1046267087276551,0.010354190608960399,0.2480861609917367,0.09851033157135992,0.5530994714079769,10.51753964440173,4.085548982086319,2081
4,2024,2.0,3.0,0.2,0.012584961307215824,0.07314358403561774,0.010138213922599195,0.1766988265514214,0.06686827956989247,0.3870967741935484,14.45866935483871,3.3176115150226853,2976
