feature,gain,rank,gain_pct,cumulative_pct
VCP_Ratio,0.04150393,1,4.15,4.15
alpha002,0.04065037,2,4.07,8.22
log_revenue_accel,0.0328681,3,3.29,11.51
log_RS_Delta,0.030644696,4,3.06,14.57
alpha011,0.028488612,5,2.85,17.42
log_volume_acceleration,0.028308015,6,2.83,20.25
log_alpha001,0.027430544,7,2.74,22.99
earnings_quality_score,0.025855979,8,2.59,25.58
Price_vs_SMA_150_Delta,0.025581155,9,2.56,28.14
gross_margin,0.025211269,10,2.52,30.66
eps_stability_score,0.024863243,11,2.49,33.15
log_pb_ratio,0.024828378,12,2.48,35.63
ps_ratio,0.024209501,13,2.42,38.05
days_since_report,0.023958506,14,2.4,40.45
alpha013,0.02288387,15,2.29,42.74
Dist_From_20D_High_Delta,0.022882245,16,2.29,45.03
SMA_50_Slope,0.022769341,17,2.28,47.31
roe,0.02255756,18,2.26,49.57
alpha009,0.022299018,19,2.23,51.8
log_current_ratio,0.021613538,20,2.16,53.96
log_eps_accel,0.020124728,21,2.01,55.97
log_debt_to_equity,0.019315673,22,1.93,57.9
log_Dry_Up_Volume_Delta,0.01915159,23,1.92,59.82
log_Dist_From_52W_Low,0.019106999,24,1.91,61.73
pe_ratio,0.018904395,25,1.89,63.62
log_Lowest_Low_20D_Delta,0.018487005,26,1.85,65.47
roa,0.018419767,27,1.84,67.31
inventory_vs_sales_spread,0.017754214,28,1.78,69.09
alpha041,0.01758861,29,1.76,70.85
rs_velocity,0.017280256,30,1.73,72.58
log_RS_MA_Delta,0.017167613,31,1.72,74.3
log_Price_vs_SMA_200_Delta,0.016009003,32,1.6,75.9
log_fcf_margin,0.016005045,33,1.6,77.5
log_revenue_cagr_3y,0.015975706,34,1.6,79.1
alpha012,0.015871614,35,1.59,80.69
log_eps_growth_yoy,0.015380792,36,1.54,82.23
log_gross_margin_trend,0.014210816,37,1.42,83.65
log_alpha060,0.013702296,38,1.37,85.02
log_Price_vs_SMA_200,0.013647776,39,1.36,86.38
log_revenue_growth_yoy,0.013264394,40,1.33,87.71
log_nATR,0.012965115,41,1.3,89.01
log_Dry_Up_Volume,0.012542392,42,1.25,90.26
alpha006,0.012048427,43,1.2,91.46
alpha015,0.010798657,44,1.08,92.54
price_accel_10d,0.010545472,45,1.05,93.59
Price_vs_SMA_50_Delta,0.01040066,46,1.04,94.63
log_Dist_From_20D_Low_Delta,0.010012406,47,1.0,95.63
nATR_Delta,0.009825256,48,0.98,96.61
log_breakout_momentum,0.008491659,49,0.85,97.46
log_volume_velocity,0.008117207,50,0.81,98.27
Dist_From_52W_High,0.0057526645,51,0.58,98.85
operating_margin,0.0053243507,52,0.53,99.38
alpha101,0.0045204503,53,0.45,99.83
alpha054,0.0018790683,54,0.19,100.02
RSI_14,0.0,55,0.0,100.02
peg_adjusted,0.0,56,0.0,100.02
Is_Green_Day,0.0,57,0.0,100.02
